Source,Target
CocaCola,justinbieber
CocaCola,rihanna
CocaCola,taylorswift13
CocaCola,TheEllenShow
CocaCola,britneyspears
CocaCola,andresiniesta8
CocaCola,davidguetta
CocaCola,camerondallas
CocaCola,RyanSeacrest
CocaCola,MTV
justinbieber,katyperry
justinbieber,NASA
justinbieber,NBA
justinbieber,NFL
justinbieber,BTS_twt
justinbieber,ParisHilton
justinbieber,VancityReynolds
justinbieber,rickygervais
justinbieber,chrissyteigen
justinbieber,JohnCena
rihanna,katyperry
rihanna,Cristiano
rihanna,ladygaga
rihanna,jtimberlake
rihanna,britneyspears
rihanna,shakira
rihanna,neymarjr
rihanna,KingJames
rihanna,BrunoMars
rihanna,Drake
TheEllenShow,Cristiano
TheEllenShow,MileyCyrus
TheEllenShow,KingJames
TheEllenShow,BrunoMars
TheEllenShow,NiallOfficial
TheEllenShow,Harry_Styles
TheEllenShow,akshaykumar
TheEllenShow,Louis_Tomlinson
TheEllenShow,LiamPayne
TheEllenShow,chrisbrown
britneyspears,katyperry
britneyspears,rihanna
britneyspears,ladygaga
britneyspears,YouTube
britneyspears,KimKardashian
britneyspears,selenagomez
britneyspears,Twitter
britneyspears,MileyCyrus
britneyspears,JLo
britneyspears,BrunoMars
andresiniesta8,FCBarcelona
andresiniesta8,3gerardpique
andresiniesta8,10Ronaldinho
andresiniesta8,SergioRamos
andresiniesta8,LuisSuarez9
andresiniesta8,RafaelNadal
andresiniesta8,FCBarcelona_es
andresiniesta8,kobebryant
andresiniesta8,rogerfederer
andresiniesta8,D_DeGea
davidguetta,BarackObama
davidguetta,justinbieber
davidguetta,katyperry
davidguetta,rihanna
davidguetta,Cristiano
davidguetta,ladygaga
davidguetta,YouTube
davidguetta,ArianaGrande
davidguetta,jtimberlake
davidguetta,neymarjr
camerondallas,justinbieber
camerondallas,ArianaGrande
camerondallas,JLo
camerondallas,ShawnMendes
camerondallas,RyanSeacrest
camerondallas,chrissyteigen
camerondallas,JKCorden
camerondallas,AustinMahone
camerondallas,shanedawson
camerondallas,AppleMusic
RyanSeacrest,BarackObama
RyanSeacrest,justinbieber
RyanSeacrest,katyperry
RyanSeacrest,rihanna
RyanSeacrest,taylorswift13
RyanSeacrest,ladygaga
RyanSeacrest,TheEllenShow
RyanSeacrest,YouTube
RyanSeacrest,realDonaldTrump
RyanSeacrest,ArianaGrande
MTV,ArianaGrande
MTV,selenagomez
MTV,cnnbrk
MTV,NiallOfficial
MTV,NASA
MTV,espn
MTV,Harry_Styles
MTV,Louis_Tomlinson
MTV,LiamPayne
MTV,zaynmalik
