Source,Target
pepsi,BarackObama
pepsi,katyperry
pepsi,justinbieber
pepsi,ladygaga
pepsi,TheEllenShow
pepsi,YouTube
pepsi,ArianaGrande
pepsi,jtimberlake
pepsi,Twitter
pepsi,britneyspears
BarackObama,WhiteHouse
BarackObama,MichelleObama
BarackObama,ObamaWhiteHouse
BarackObama,FLOTUS
BarackObama,VP
BarackObama,FLOTUS44
BarackObama,MedvedevRussia
BarackObama,JoeBiden
BarackObama,SpeakerPelosi
BarackObama,VP44
katyperry,rihanna
katyperry,taylorswift13
katyperry,ladygaga
katyperry,TheEllenShow
katyperry,ArianaGrande
katyperry,selenagomez
katyperry,britneyspears
katyperry,MileyCyrus
katyperry,BrunoMars
katyperry,Drake
justinbieber,katyperry
justinbieber,NASA
justinbieber,NBA
justinbieber,NFL
justinbieber,BTS_twt
justinbieber,ParisHilton
justinbieber,VancityReynolds
justinbieber,rickygervais
justinbieber,chrissyteigen
justinbieber,JohnCena
ladygaga,BarackObama
ladygaga,katyperry
ladygaga,rihanna
ladygaga,TheEllenShow
ladygaga,YouTube
ladygaga,selenagomez
ladygaga,britneyspears
ladygaga,CNN
ladygaga,LiamPayne
ladygaga,elonmusk
TheEllenShow,Cristiano
TheEllenShow,MileyCyrus
TheEllenShow,KingJames
TheEllenShow,BrunoMars
TheEllenShow,NiallOfficial
TheEllenShow,Harry_Styles
TheEllenShow,akshaykumar
TheEllenShow,Louis_Tomlinson
TheEllenShow,LiamPayne
TheEllenShow,chrisbrown
YouTube,BarackObama
YouTube,justinbieber
YouTube,katyperry
YouTube,rihanna
YouTube,taylorswift13
YouTube,ladygaga
YouTube,TheEllenShow
YouTube,jtimberlake
YouTube,KimKardashian
YouTube,selenagomez
ArianaGrande,justinbieber
ArianaGrande,selenagomez
ArianaGrande,NASA
ArianaGrande,chrisbrown
ArianaGrande,onedirection
ArianaGrande,Adele
ArianaGrande,pitbull
ArianaGrande,kourtneykardash
ArianaGrande,camerondallas
ArianaGrande,voguemagazine
jtimberlake,BarackObama
jtimberlake,justinbieber
jtimberlake,rihanna
jtimberlake,taylorswift13
jtimberlake,ladygaga
jtimberlake,TheEllenShow
jtimberlake,ArianaGrande
jtimberlake,KimKardashian
jtimberlake,selenagomez
jtimberlake,jimmyfallon
Twitter,TwitterRetweets
britneyspears,katyperry
britneyspears,rihanna
britneyspears,ladygaga
britneyspears,YouTube
britneyspears,KimKardashian
britneyspears,selenagomez
britneyspears,Twitter
britneyspears,MileyCyrus
britneyspears,JLo
britneyspears,BrunoMars
