Name,Created_At,Fav_Count,Followers_Count,Friends_count,Listed_Count,Location,Statuses_Count
justinbieber,Sat Mar 28 16:41:22 +0000 2009,3413,107487834,299531,573292,,30466
rihanna,Fri Oct 02 21:37:33 +0000 2009,1020,95051975,1069,102458,,10449
taylorswift13,Sat Dec 06 10:10:54 +0000 2008,678,85568539,0,120074,,397
TheEllenShow,Thu Aug 14 03:50:42 +0000 2008,2017,79186576,27722,106999,California,20889
britneyspears,Mon Sep 22 20:47:35 +0000 2008,2572,56224721,379727,116909,"Los Angeles, CA",5631
andresiniesta8,Wed Nov 18 09:33:28 +0000 2009,65,24569912,106,34441,Barcelona,2233
davidguetta,Thu Mar 12 16:19:49 +0000 2009,3944,21231449,348,28175,"Ibiza, Paris, the world...",5393
camerondallas,Sat Nov 05 18:20:57 +0000 2011,35083,16001838,358,16403,,1126
RyanSeacrest,Mon Sep 08 19:55:09 +0000 2008,922,15853461,567,38184,"New York, NY",16526
MTV,Mon Mar 26 22:30:49 +0000 2007,19385,15747646,31618,31507,NYC,284010
CocaCola,Thu Mar 26 16:36:42 +0000 2009,23174,3342334,61513,12869,"Atlanta, GA",273090
katyperry,Fri Feb 20 23:45:56 +0000 2009,6830,108356184,223,138436,,10230
NASA,Wed Dec 19 20:20:32 +0000 2007,8374,34792681,245,94667,,58875
NBA,Mon Feb 02 19:04:42 +0000 2009,466,29118056,1744,51519,,247259
NFL,Sat Jan 24 01:28:06 +0000 2009,1578,24945505,2595,49981,,202843
BTS_twt,Thu Jul 14 06:32:56 +0000 2011,181,23651157,129,59626,,12141
ParisHilton,Tue Mar 17 18:45:05 +0000 2009,16525,17022879,8353,50465,"Los Angeles, CA",17949
VancityReynolds,Wed Nov 26 16:12:27 +0000 2014,15141,15374456,664,11699,????????,1454
rickygervais,Wed Feb 04 00:00:12 +0000 2009,148584,14163989,1388,29710,Earth,59736
chrissyteigen,Mon May 11 22:50:04 +0000 2009,35242,12256048,5104,11516,everywhere like such as,69596
JohnCena,Sat May 08 17:43:50 +0000 2010,7,11983448,99163,33169,"West Newbury, MA",6276
Cristiano,Mon Jun 14 19:09:20 +0000 2010,2,82200983,51,88117,"Turim, Piemonte",3502
ladygaga,Wed Mar 26 22:37:48 +0000 2008,2071,80694045,123742,217730,,9051
jtimberlake,Wed Mar 25 19:10:50 +0000 2009,479,64995501,289,73178,"Memphis, TN",4123
shakira,Wed Jun 03 17:38:07 +0000 2009,1622,51725074,211,99010,Barranquilla,6624
neymarjr,Tue Jun 22 20:59:27 +0000 2010,933,45265547,737,50450,"Paris, France",41610
KingJames,Fri Mar 06 16:25:53 +0000 2009,144,44429510,186,45520,Amongst La Familia!,6835
BrunoMars,Tue Dec 29 13:07:04 +0000 2009,386,43263832,98,37268,,4677
Drake,Sat Mar 28 07:17:46 +0000 2009,32,38847216,625,40412,Paradise,1746
MileyCyrus,Fri Mar 18 18:36:02 +0000 2011,490,44773876,346,58504,,10526
NiallOfficial,Fri Jan 15 12:14:24 +0000 2010,547,39476843,5967,113401,"Mullingar,Westmeath,Ireland",14746
Harry_Styles,Sun Aug 22 14:19:06 +0000 2010,294,33982946,1973,152691,,5540
akshaykumar,Wed Apr 15 05:23:19 +0000 2009,1917,33582662,26,15188,,40179
Louis_Tomlinson,Thu Oct 22 08:58:11 +0000 2009,247,33535141,3692,98848,Doncaster,6985
LiamPayne,Tue Jun 22 10:19:08 +0000 2010,1957,32894346,15601,98510,,11094
chrisbrown,Wed Mar 03 21:39:14 +0000 2010,613,31577670,1,44706,,4526
YouTube,Tue Nov 13 21:43:46 +0000 2007,2754,72225182,1053,81723,"San Bruno, CA",24464
KimKardashian,Thu Mar 19 19:21:56 +0000 2009,160,63123061,131,80926, ,31248
selenagomez,Mon Mar 09 00:16:45 +0000 2009,560,59585580,1157,129628,Los Angeles,4565
Twitter,Tue Feb 20 14:35:54 +0000 2007,6388,57058098,1,90555,Everywhere,12718
JLo,Tue Oct 27 16:24:51 +0000 2009,8174,44304408,1682,52250,"Bronx, NY",15130
FCBarcelona,Tue Dec 15 09:53:50 +0000 2009,2590,31765753,79,31931,Barcelona,106409
3gerardpique,Wed Dec 08 13:20:43 +0000 2010,362,19605373,679,28780,Barcelona,2898
10Ronaldinho,Tue Apr 07 16:11:50 +0000 2009,777,19161328,115,28480,"Rio de Janeiro, Brasil",5342
SergioRamos,Wed Jun 02 17:17:33 +0000 2010,60,16785217,722,25295,"Madrid, Spain",3989
LuisSuarez9,Tue Nov 09 17:56:06 +0000 2010,15,15943496,70,14633,Spain,1321
RafaelNadal,Fri Jul 29 10:44:02 +0000 2011,132,15704149,107,23485,Manacor,2837
FCBarcelona_es,Tue Feb 09 16:50:32 +0000 2010,183,14949951,80,22477,Barcelona,107038
kobebryant,Fri Jan 04 01:09:40 +0000 2013,315,14604775,519,17640,,1902
rogerfederer,Mon Apr 08 22:33:48 +0000 2013,763,12671475,83,12332,Switzerland,1920
D_DeGea,Mon Mar 14 13:03:14 +0000 2011,550,12557222,197,11600,,2106
BarackObama,Mon Mar 05 22:08:25 +0000 2007,11,112208065,609556,228631,"Washington, DC",15717
ArianaGrande,Thu Apr 23 02:56:31 +0000 2009,42769,69423149,60634,63758,?????? uoo??????uo??,45847
ShawnMendes,Sat Sep 24 22:29:41 +0000 2011,7031,24825737,57770,23280,,14947
JKCorden,Mon Nov 15 11:40:04 +0000 2010,811,10635110,2521,9917,"Los Angeles, CA",13634
AustinMahone,Wed Sep 29 22:53:34 +0000 2010,6226,9614404,75230,19360,"Miami, FL",42765
shanedawson,Sat Jan 03 22:10:33 +0000 2009,19722,9622970,23089,13956,,32299
AppleMusic,Tue Sep 15 22:49:25 +0000 2009,403,9609734,1698,23681,"Cupertino, CA",33873
realDonaldTrump,Wed Mar 18 13:46:38 +0000 2009,7,71293415,47,113532,"Washington, DC",47992
cnnbrk,Tue Jan 02 01:48:14 +0000 2007,22,56368311,120,183507,Everywhere,69055
espn,Tue Mar 27 20:46:16 +0000 2007,382,34714878,308,60348,,108537
zaynmalik,Mon Aug 09 21:54:10 +0000 2010,787,28503049,2124,114768,,3595
