Name,Created_At,Fav_Count,Followers_Count,Friends_count,Listed_Count,Location,Statuses_Count
BarackObama,Mon Mar 05 22:08:25 +0000 2007,11,111012902,610005,228461,"Washington, DC",15707
katyperry,Fri Feb 20 23:45:56 +0000 2009,6821,108306592,222,138562,,10207
justinbieber,Sat Mar 28 16:41:22 +0000 2009,3413,107487886,299531,573292,,30466
ladygaga,Wed Mar 26 22:37:48 +0000 2008,2075,80591134,123890,218044,,9052
TheEllenShow,Thu Aug 14 03:50:42 +0000 2008,2017,79186610,27722,106999,California,20889
YouTube,Tue Nov 13 21:43:46 +0000 2007,2742,72145890,1051,81712,"San Bruno, CA",24351
ArianaGrande,Thu Apr 23 02:56:31 +0000 2009,42456,68413827,60822,63304,?????? uoo??????uo??,45623
jtimberlake,Wed Mar 25 19:10:50 +0000 2009,476,65021677,289,73283,"Memphis, TN",4120
Twitter,Tue Feb 20 14:35:54 +0000 2007,6392,56881406,7,90503,Everywhere,12587
britneyspears,Mon Sep 22 20:47:35 +0000 2008,2572,56224723,379727,116909,"Los Angeles, CA",5631
pepsi,Mon Dec 15 16:26:23 +0000 2008,5262,3016239,39896,6249,,38710
WhiteHouse,Thu Jan 19 22:54:27 +0000 2017,13,19945663,19,12417,"Washington, D.C.",14843
MichelleObama,Thu Nov 10 20:13:01 +0000 2011,151,14222834,18,24854,"Washington, DC",1225
ObamaWhiteHouse,Fri Apr 10 21:10:30 +0000 2009,0,13043295,230,61929,"Washington, DC",28341
FLOTUS,Tue Jan 10 17:43:50 +0000 2017,0,13038764,7,8419,"Washington, D.C.",788
VP,Tue Jan 10 20:02:44 +0000 2017,17,8418161,14,10061,"Washington, D.C.",8202
FLOTUS44,Tue Jan 15 20:03:17 +0000 2013,22,6660285,27,13166,"Washington, DC",4084
MedvedevRussia,Wed Jun 09 14:56:12 +0000 2010,2,4783297,47,43050,"????????????, ????????????",1665
JoeBiden,Sun Mar 11 17:51:24 +0000 2007,17,4120966,26,15290,"Wilmington, DE",3602
SpeakerPelosi,Thu Aug 07 15:35:02 +0000 2008,10,3747771,362,17913,San Francisco,9875
VP44,Tue Jun 28 23:07:42 +0000 2011,11,2567803,132,8326,"Washington, D.C.",3654
rihanna,Fri Oct 02 21:37:33 +0000 2009,1020,95525515,1064,102391,,10453
taylorswift13,Sat Dec 06 10:10:54 +0000 2008,673,85542626,0,120012,,398
selenagomez,Mon Mar 09 00:16:45 +0000 2009,560,59591515,1156,129627,Los Angeles,4565
MileyCyrus,Fri Mar 18 18:36:02 +0000 2011,490,44775948,346,58497,,10526
BrunoMars,Tue Dec 29 13:07:04 +0000 2009,386,43264157,98,37268,,4676
Drake,Sat Mar 28 07:17:46 +0000 2009,32,38847828,625,40412,Paradise,1746
NASA,Wed Dec 19 20:20:32 +0000 2007,8374,34796499,245,94660,,58875
NBA,Mon Feb 02 19:04:42 +0000 2009,466,29120749,1744,51518,,247300
NFL,Sat Jan 24 01:28:06 +0000 2009,1578,24946557,2595,49977,,202848
BTS_twt,Thu Jul 14 06:32:56 +0000 2011,181,23656008,129,59625,,12141
ParisHilton,Tue Mar 17 18:45:05 +0000 2009,16552,17022805,8368,50461,"Los Angeles, CA",17969
VancityReynolds,Wed Nov 26 16:12:27 +0000 2014,15141,15375819,664,11697,????????,1454
rickygervais,Wed Feb 04 00:00:12 +0000 2009,148679,14165502,1388,29720,Earth,59746
chrissyteigen,Mon May 11 22:50:04 +0000 2009,35247,12257027,5107,11516,everywhere like such as,69601
JohnCena,Sat May 08 17:43:50 +0000 2010,7,11984656,99246,33169,"West Newbury, MA",6276
CNN,Fri Feb 09 00:35:02 +0000 2007,1432,44449840,1107,141170,,282150
LiamPayne,Tue Jun 22 10:19:08 +0000 2010,1957,32894974,15602,98506,,11094
elonmusk,Tue Jun 02 20:12:29 +0000 2009,4665,30778475,81,53071,,9752
Cristiano,Mon Jun 14 19:09:20 +0000 2010,2,82206148,51,88116,"Turim, Piemonte",3502
KingJames,Fri Mar 06 16:25:53 +0000 2009,144,44431960,186,45522,Amongst La Familia!,6835
NiallOfficial,Fri Jan 15 12:14:24 +0000 2010,547,39476994,5967,113397,"Mullingar,Westmeath,Ireland",14746
Harry_Styles,Sun Aug 22 14:19:06 +0000 2010,294,33984839,1973,152678,,5540
akshaykumar,Wed Apr 15 05:23:19 +0000 2009,1917,33588113,26,15190,,40180
Louis_Tomlinson,Thu Oct 22 08:58:11 +0000 2009,247,33535666,3692,98842,Doncaster,6986
chrisbrown,Wed Mar 03 21:39:14 +0000 2010,613,31578724,1,44703,,4526
KimKardashian,Thu Mar 19 19:21:56 +0000 2009,160,63129018,131,80926, ,31250
onedirection,Fri Oct 29 19:05:25 +0000 2010,284,30540890,3661,59847,London,9822
Adele,Mon Aug 30 19:53:19 +0000 2010,0,27460722,0,31926,London,310
pitbull,Thu Apr 16 16:03:02 +0000 2009,1071,26013832,2592,23307,"Miami, FL",8022
kourtneykardash,Tue Mar 10 17:12:52 +0000 2009,2716,24805024,73,29581,,13374
camerondallas,Sat Nov 05 18:20:57 +0000 2011,34995,15974055,359,16379,,1126
voguemagazine,Fri Apr 23 18:33:32 +0000 2010,5737,13771576,519,23714,"New York, NY",144734
jimmyfallon,Fri Jul 18 19:46:50 +0000 2008,1603,51621099,9511,66654,"New York, New York",12329
TwitterRetweets,Tue Nov 12 14:56:22 +0000 2019,9,41651,52,128,,116
JLo,Tue Oct 27 16:24:51 +0000 2009,8174,44305410,1682,52245,"Bronx, NY",15130
